CBSA_Code1,CBSA_Code,MSA_Name,Patents_2015
17900,117900,"Columbia, SC",94
35660,135660,"Niles-Benton Harbor, MI",137
21660,121660,"Eugene-Springfield, OR",79
21780,121780,"Evansville, IN-KY",118
19340,119340,"Davenport-Moline-Rock Island, IA-IL",76
28420,128420,"Kennewick-Pasco-Richland, WA",84
16700,116700,"Charleston-North Charleston-Summerville, SC",69
11180,111180,"Ames, IA",84
13980,113980,"Blacksburg-Christiansburg-Radford, VA",84
43900,143900,"Spartanburg, SC",60
41500,141500,"Salinas, CA",74
26180,126180,"Honolulu, HI",88
44300,144300,"State College, PA",72
30700,130700,"Lincoln, NE",72
12540,112540,"Bakersfield-Delano, CA",85
26980,126980,"Iowa City, IA",85
21300,121300,"Elmira, NY",75
14020,114020,"Bloomington, IN",129
49660,149660,"Youngstown-Warren-Boardman, OH-PA",66
42540,142540,"Scranton--Wilkes-Barre, PA",42
40220,140220,"Roanoke, VA",98
44700,144700,"Stockton, CA",94
34940,134940,"Naples-Marco Island, FL",81
11700,111700,"Asheville, NC",57
30860,130860,"Logan, UT-ID",89
19660,119660,"Deltona-Daytona Beach-Ormond Beach, FL",62
18020,118020,"Columbus, IN",91
29180,129180,"Lafayette, LA",62
29020,129020,"Kokomo, IN",36
17780,117780,"College Station-Bryan, TX",67
30780,130780,"Little Rock-North Little Rock-Conway, AR",61
45220,145220,"Tallahassee, FL",52
46700,146700,"Vallejo-Fairfield, CA",67
15980,115980,"Cape Coral-Fort Myers, FL",85
22020,122020,"Fargo, ND-MN",75
40980,140980,"Saginaw-Saginaw Township North, MI",60
48900,148900,"Wilmington, NC",54
23420,123420,"Fresno, CA",72
12260,112260,"Augusta-Richmond County, GA-SC",54
16860,116860,"Chattanooga, TN-GA",45
26820,126820,"Idaho Falls, ID",34
21140,121140,"Elkhart-Goshen, IN",47
13460,113460,"Bend, OR",67
22220,122220,"Fayetteville-Springdale-Rogers, AR-MO",80
12700,112700,"Barnstable Town, MA",52
43100,143100,"Sheboygan, WI",60
33780,133780,"Monroe, MI",56
13380,113380,"Bellingham, WA",56
12020,112020,"Athens-Clarke County, GA",49
41420,141420,"Salem, OR",36
42140,142140,"Santa Fe, NM",50
37860,137860,"Pensacola-Ferry Pass-Brent, FL",48
24580,124580,"Green Bay, WI",42
33700,133700,"Modesto, CA",36
22380,122380,"Flagstaff, AZ",64
21340,121340,"El Paso, TX",34
36500,136500,"Olympia, WA",43
20740,120740,"Eau Claire, WI",43
47940,147940,"Waterloo-Cedar Falls, IA",49
29460,129460,"Lakeland-Winter Haven, FL",40
31340,131340,"Lynchburg, VA",46
17860,117860,"Columbia, MO",34
16620,116620,"Charleston, WV",26
43580,143580,"Sioux City, IA-NE-SD",25
22500,122500,"Florence, SC",23
44180,144180,"Springfield, MO",35
34900,134900,"Napa, CA",43
27500,127500,"Janesville, WI",39
14060,114060,"Bloomington-Normal, IL",74
11340,111340,"Anderson, SC",45
29940,129940,"Lawrence, KS",52
27140,127140,"Jackson, MS",27
20220,120220,"Dubuque, IA",61
27100,127100,"Jackson, MI",39
11260,111260,"Anchorage, AK",26
43620,143620,"Sioux Falls, SD",42
27740,127740,"Johnson City, TN",28
22540,122540,"Fond du Lac, WI",25
36100,136100,"Ocala, FL",25
31180,131180,"Lubbock, TX",25
38340,138340,"Pittsfield, MA",36
11300,111300,"Anderson, IN",33
44100,144100,"Springfield, IL",37
46540,146540,"Utica-Rome, NY",40
27900,127900,"Joplin, MO",25
12220,112220,"Auburn-Opelika, AL",25
31860,131860,"Mankato-North Mankato, MN",41
18580,118580,"Corpus Christi, TX",45
37460,137460,"Panama City-Lynn Haven-Panama City Beach, FL",17
23580,123580,"Gainesville, GA",28
13140,113140,"Beaumont-Port Arthur, TX",34
27180,127180,"Jackson, TN",11
43340,143340,"Shreveport-Bossier City, LA",30
12980,112980,"Battle Creek, MI",27
39140,139140,"Prescott, AZ",30
13020,113020,"Bay City, MI",22
32780,132780,"Medford, OR",51
37620,137620,"Parkersburg-Marietta-Vienna, WV-OH",14
33660,133660,"Mobile, AL",16
42340,142340,"Savannah, GA",34
26380,126380,"Houma-Bayou Cane-Thibodaux, LA",24
20260,120260,"Duluth, MN-WI",34
29100,129100,"La Crosse, WI-MN",22
34060,134060,"Morgantown, WV",32
31740,131740,"Manhattan, KS",39
30980,130980,"Longview, TX",20
24020,124020,"Glens Falls, NY",38
34740,134740,"Muskegon-Norton Shores, MI",15
24780,124780,"Greenville, NC",24
46340,146340,"Tyler, TX",22
33260,133260,"Midland, TX",33
48700,148700,"Williamsport, PA",12
19500,119500,"Decatur, IL",17
42680,142680,"Sebastian-Vero Beach, FL",38
43300,143300,"Sherman-Denison, TX",16
17660,117660,"Coeur d'Alene, ID",35
41980,141980,"San Juan-Caguas-Guaynabo, PR",21
15500,115500,"Burlington, NC",26
39460,139460,"Punta Gorda, FL",22
25180,125180,"Hagerstown-Martinsburg, MD-WV",18
41060,141060,"St. Cloud, MN",21
25060,125060,"Gulfport-Biloxi, MS",12
31420,131420,"Macon, GA",16
12100,112100,"Atlantic City-Hammonton, NJ",12
18880,118880,"Crestview-Fort Walton Beach-Destin, FL",18
33860,133860,"Montgomery, AL",17
28660,128660,"Killeen-Temple-Fort Hood, TX",21
34820,134820,"Myrtle Beach-North Myrtle Beach-Conway, SC",22
41100,141100,"St. George, UT",25
11100,111100,"Amarillo, TX",18
48140,148140,"Wausau, WI",11
24300,124300,"Grand Junction, CO",21
44220,144220,"Springfield, OH",16
30140,130140,"Lebanon, PA",18
17020,117020,"Chico, CA",16
39820,139820,"Redding, CA",16
49020,149020,"Winchester, VA-WV",21
47380,147380,"Waco, TX",17
29740,129740,"Las Cruces, NM",8
34100,134100,"Morristown, TN",16
24220,124220,"Grand Forks, ND-MN",14
28100,128100,"Kankakee-Bradley, IL",10
33540,133540,"Missoula, MT",19
26580,126580,"Huntington-Ashland, WV-KY-OH",14
12620,112620,"Bangor, ME",18
47300,147300,"Visalia-Porterville, CA",12
34580,134580,"Mount Vernon-Anacortes, WA",23
